cruise,station,type,time,lon,lat,local_cdi_ID,EDMO_code,bottle_depth,sensor_pressure,sensor_pressure_flag,potential_temperature,potential_temperature_flag,practical_salinity,practical_salinity_flag,sigma_theta,sigma_theta_flag,uncalibrated_CTD_temperature,uncalibrated_CTD_temperature_flag
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,58.5,1,13.910,1,35.528,1,26.615,1,13.919,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,59.5,1,13.828,1,35.531,1,26.634,1,13.837,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,60.5,1,13.367,1,35.537,8,26.735,1,13.376,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,61.5,1,12.883,1,35.542,1,26.837,1,12.890999999999998,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,62.5,1,12.844,1,35.539,1,26.843,1,12.852,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,63.5,1,12.819,1,35.538,1,26.847,1,12.827,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,64.5,1,12.787,1,35.540,1,26.854,1,12.796,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,65.5,1,12.473,1,35.543,1,26.920,1,12.481,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,66.5,1,12.297,1,35.546,1,26.956,1,12.306,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,67.5,1,12.303,1,35.537,1,26.948,1,12.311,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,68.5,1,12.277,1,35.533,1,26.950,1,12.286,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,69.5,1,12.093,1,35.532,1,26.985,1,12.102,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,70.5,1,11.991,1,35.536,1,27.008,1,12.0,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,71.5,1,11.926,1,35.536,1,27.021,1,11.935,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,72.5,1,11.738,1,35.539,1,27.059,1,11.748,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,73.5,1,11.695,1,35.527,1,27.057,1,11.705,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,74.5,1,11.694,1,35.524,1,27.055,1,11.704,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,75.5,1,11.559,1,35.532,1,27.087,1,11.569,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,76.5,1,11.513,1,35.525,1,27.090,1,11.523,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,77.5,1,11.439,1,35.527,1,27.105,1,11.449000000000002,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,78.5,1,11.424,1,35.529,1,27.110,1,11.434000000000001,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,79.5,1,11.415,1,35.526,1,27.109,1,11.425,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,80.5,1,11.374,1,35.526,1,27.117,1,11.384,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,81.5,1,11.377,1,35.528,1,27.117,1,11.388,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,82.5,1,11.371,1,35.528,1,27.119,1,11.382,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,83.5,1,11.372,1,35.528,1,27.118,1,11.383,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,84.5,1,11.371,1,35.528,1,27.119,1,11.382,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,85.5,1,11.375,1,35.527,1,27.118,1,11.385,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,86.5,1,11.375,1,35.527,1,27.117,1,11.386,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,87.5,1,11.372,1,35.528,1,27.119,1,11.383,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,88.5,1,11.372,1,35.528,1,27.119,1,11.383,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,89.5,1,11.372,1,35.528,1,27.119,1,11.383,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,90.5,1,11.375,1,35.528,1,27.118,1,11.386,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,91.5,1,11.370,1,35.528,1,27.119,1,11.380999999999998,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,92.5,1,11.368,1,35.528,1,27.120,1,11.379000000000001,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,93.5,1,11.368,1,35.528,1,27.119,1,11.38,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,94.5,1,11.368,1,35.528,1,27.119,1,11.38,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,95.5,1,11.373,1,35.528,1,27.119,1,11.385,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,96.5,1,11.371,1,35.528,1,27.119,1,11.383,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,97.5,1,11.373,1,35.528,1,27.119,1,11.385,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,98.5,1,11.371,1,35.528,1,27.119,1,11.383,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,99.5,1,11.370,1,35.527,1,27.119,1,11.382,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,1.5,1,18.034000000000002,1,35.6,1,25.725,1,18.034000000000002,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,2.5,1,18.034000000000002,1,35.601,1,25.725,1,18.034000000000002,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,3.5,1,18.034000000000002,1,35.6,1,25.725,1,18.035,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,4.5,1,18.034000000000002,1,35.6,1,25.725,1,18.035,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,5.5,1,18.034000000000002,1,35.6,1,25.724,1,18.035,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,6.5,1,18.033,1,35.6,1,25.725,1,18.034000000000002,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,7.5,1,18.033,1,35.599000000000004,1,25.724,1,18.034000000000002,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,8.5,1,18.033,1,35.6,1,25.725,1,18.034000000000002,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,9.5,1,18.033,1,35.6,1,25.725,1,18.034000000000002,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,10.5,1,18.032,1,35.6,1,25.725,1,18.034000000000002,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,11.5,1,18.032,1,35.6,1,25.725,1,18.034000000000002,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,12.5,1,18.03,1,35.599000000000004,1,25.725,1,18.032,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,13.5,1,18.027,1,35.598,1,25.725,1,18.03,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,14.5,1,18.027,1,35.598,1,25.724,1,18.03,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,15.5,1,18.025,1,35.598,1,25.725,1,18.028,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,16.5,1,18.025,1,35.598,1,25.725,1,18.028,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,17.5,1,18.024,1,35.598,1,25.725,1,18.027,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,18.5,1,18.024,1,35.598,1,25.725,1,18.028,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,19.5,1,18.025,1,35.598,1,25.725,1,18.029,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,20.5,1,18.021,1,35.597,1,25.726,1,18.025,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,21.5,1,18.016,1,35.596,1,25.726,1,18.02,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,22.5,1,18.019000000000002,1,35.596,1,25.725,1,18.023,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,23.5,1,18.01,1,35.595,1,25.726999999999997,1,18.014,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,24.5,1,18.003,1,35.593,1,25.726999999999997,1,18.007,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,25.5,1,18.003,1,35.593,1,25.726999999999997,1,18.007,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,26.5,1,18.004,1,35.593,1,25.726,1,18.009,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,27.5,1,18.014,1,35.596,1,25.726,1,18.019000000000002,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,28.5,1,18.004,1,35.594,1,25.726999999999997,1,18.009,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,29.5,1,17.987000000000002,1,35.592,1,25.73,1,17.992,1
